"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U4";"SAMD21G18_MOD";1;"SAMD21_MOD";;;
2;"C2,C4";"C_0402";2;"15pF";;;
3;"C3,C5,C11,C12";"C_0402";4;"0.1uF";;;
4;"C8,C9";"C_0402";2;"1uF";;;
5;"D2";"LED-0603";1;"YLED";;;
6;"D1";"LED-0603";1;"GLED";;;
7;"R3";"R_0402";1;"10k";;;
8;"R9,R8";"R_0402";2;"1k";;;
9;"Y1";"crystal_smd_3.20x1.50mm2";1;"Crystal_Small";;;
10;"D3,D4";"SOD-323";2;"BAT20J";;;
11;"J2,J4,J1,J3,J5";"TESTP_1_5";5;"TEST_1P";;;
12;"U2";"QFN-48-EP-ST_NoVia";1;"SAMD21G18";;;
13;"SW4";"switch_kmr2";1;"SW_PUSH";;;
14;"U1";"SOT-23-5";1;"AP2112K-3.3V";;;
15;"G***";"SH_LOGO_2P5mm";1;"LOGO";;;
